APPID;NAME;CURRENT;24H PEAK;ALL-TIME PEAK
753;Steam;13844514;14856692;17683804
578080;PLAYERUNKNOWN'S BATTLEGROUNDS;915787;2670554;2940359
730;Counter-Strike: Global Offensive;513732;516162;854801
570;Dota 2;502982;666134;1295114
359550;Tom Clancy's Rainbow Six Siege;66114;79865;99655
271590;Grand Theft Auto V;51752;65079;364548
230410;Warframe;51209;52763;121862
252950;Rocket League;50474;53045;103129
440;Team Fortress 2;50259;53261;120436
624090;Football Manager 2018;46477;53114;59136
346110;ARK: Survival Evolved;40556;42001;101035
218620;PAYDAY 2;3624;48064;247709
4000;Garry's Mod;32111;329;73863
252490;Rust;31832;33908;68216
622590;PLAYERUNKNOWN'S BATTLEGROUNDS (Test Server);30986;3611;37151
8930;Sid Meier's Civilization V;30737;32271;91363
227300;Euro Truck Simulator 2;29719;31849;41266
107410;Arma 3;27782;29378;56679
444090;Paladins;24952;26352;60743
433850;H1Z1;23865;26829;151239
504370;Battlerite;22991;22991;45145
10;Counter-Strike;22884;2368;319586
377160;Fallout 4;22748;24105;472962
482730;Football Manager 2017;20502;22965;72824
289070;Sid Meier's Civilization VI;20475;21518;162657
